,repository,lines_of_code,cyclomatic_complexity,tlag,deps_depth
455,https://github.com/stylus/stylus,16437,6060,407,8.0
456,https://github.com/gaearon/react-hot-loader,12758,5071,305,9.0
457,https://github.com/JedWatson/classnames,694,339,75,8.0
458,https://github.com/rollup/rollup-plugin-replace,420,197,1167,9.0
459,https://github.com/hughsk/vinyl-buffer,54,33,1816,4.0
460,https://github.com/niksy/throttle-debounce,569,316,1569,10.0
461,https://github.com/webpack-contrib/eslint-loader,1355,609,746,9.0
462,https://github.com/webpack-contrib/html-loader,456,174,940,9.0
463,https://github.com/styleguidist/react-styleguidist,25705,6577,293,10.0
464,https://github.com/thlorenz/proxyquire,1709,957,503,8.0
465,https://github.com/jshint/jshint,124684,44172,408,9.0
466,https://github.com/lazd/gulp-replace,467,235,1366,4.0
467,https://github.com/karma-runner/karma-coverage,679,383,853,11.0
468,https://github.com/M-Zuber/npm-watch,186,132,659,10.0
469,https://github.com/scottcorgan/tap-spec,383,241,1538,7.0
470,https://github.com/yeoman/configstore,247,146,871,10.0
471,https://github.com/sshev/karma-remap-coverage,45,24,675,6.0
472,https://github.com/bgrins/TinyColor,13795,7082,1316,8.0
473,https://github.com/svg/svgo,13083,4805,505,6.0
474,https://github.com/evilstreak/markdown-js,2982,1431,1738,5.0
475,https://github.com/moment/moment,182300,90337,550,9.0
476,https://github.com/thlorenz/exorcist,550,354,1427,6.0
477,https://github.com/jsoverson/grunt-env,361,166,1628,6.0
478,https://github.com/andyearnshaw/Intl.js,13616,8901,902,10.0
479,https://github.com/egoist/bili,182,74,390,9.0
480,https://github.com/Level/level,67,48,427,11.0
481,https://github.com/klughammer/node-randomstring,220,129,1732,4.0
482,https://github.com/twbs/bootstrap-sass,5244,3552,122,8.0
483,https://github.com/taylorhakes/promise-polyfill,1101,486,518,11.0
484,https://github.com/visionmedia/debug,970,403,570,10.0
485,https://github.com/spion/blue-tape,175,71,1420,8.0
486,https://github.com/gajus/eslint-plugin-jsdoc,5399,1147,154,10.0
487,https://github.com/Level/levelup,3532,1825,434,11.0
488,https://github.com/TypeStrong/ts-node,11,9,386,5.0
489,https://github.com/component/debounce,240,179,2057,8.0
490,https://github.com/frostney/rollup-plugin-alias,330,150,769,11.0
491,https://github.com/toastynerd/webpack_env,62,38,1275,12.0
492,https://github.com/dcodeIO/protobuf.js,57850,21278,624,11.0
493,https://github.com/boblauer/mock-require,364,239,458,6.0
494,https://github.com/ndmitry/grunt-autoprefixer,476,231,1746,10.0
495,https://github.com/harthur/nomnom,1171,555,2093,10.0
496,https://github.com/reactjs/react-docgen,14912,4563,413,10.0
497,https://github.com/valeriangalliat/markdown-it-anchor,208,110,1211,8.0
498,https://github.com/marcules/karma-remap-istanbul,372,171,1025,11.0
499,https://github.com/simplabs/qunit-dom,323,140,286,11.0
500,https://github.com/intellicode/eslint-plugin-react-native,3182,693,356,8.0
501,https://github.com/Microsoft/tslint-microsoft-contrib,684,339,246,2.0
502,https://github.com/yahoo/react-intl,5147,2089,692,10.0
503,https://github.com/expressjs/errorhandler,615,269,1048,8.0
504,https://github.com/adaltas/node-csv,132,63,170,4.0
505,https://github.com/estools/estraverse,7857,3551,1493,11.0
506,https://github.com/andreypopp/reactify,2287,2154,1857,6.0
507,https://github.com/samverschueren/uppercamelcase,44,39,1455,10.0
